outside_temp,outside_humidity,inside_temp,inside_humidity,username,date,time
89.6,82.2,80.5,80.8,wanda13,15-01-01,00
70.5,71.3,70.1,70.8,wanda13,15-01-01,06
79.7,69.4,79.0,68.9,wanda13,15-01-01,12
94.9,83.0,94.9,80.1,wanda13,15-01-01,18
88.7,88.5,82.4,85.7,wanda13,15-01-02,00
83.5,50.9,74.6,49.9,wanda13,15-01-02,06
78.9,83.8,76.6,77.5,wanda13,15-01-02,12
94.3,52.7,93.0,49.3,wanda13,15-01-02,18
91.6,70.4,91.6,70.4,wanda13,15-01-03,00
73.4,69.6,72.5,69.6,wanda13,15-01-03,06
72.8,60.2,72.6,51.4,wanda13,15-01-03,12
92.5,86.3,90.4,86.0,wanda13,15-01-03,18
82.2,77.8,81.5,76.4,wanda13,15-01-04,00
79.8,62.0,77.8,54.6,wanda13,15-01-04,06
84.4,65.0,82.8,65.0,wanda13,15-01-04,12
87.5,73.7,85.3,71.0,wanda13,15-01-04,18
88.1,71.4,87.8,65.3,wanda13,15-01-05,00
73.5,84.9,73.5,78.3,wanda13,15-01-05,06
93.5,92.2,92.5,92.2,wanda13,15-01-05,12
88.4,80.9,86.9,77.6,wanda13,15-01-05,18
74.0,82.4,73.2,80.1,wanda13,15-01-06,00
73.6,80.8,70.2,80.6,wanda13,15-01-06,06
84.7,66.9,79.7,62.8,wanda13,15-01-06,12
86.2,91.6,82.3,90.8,wanda13,15-01-06,18
73.3,55.3,73.3,51.9,wanda13,15-01-07,00
80.5,82.3,80.5,81.4,wanda13,15-01-07,06
85.4,77.0,79.6,72.2,wanda13,15-01-07,12
92.3,80.3,86.6,74.1,wanda13,15-01-07,18
77.5,60.8,75.6,59.5,wanda13,15-01-08,00
91.6,76.5,90.2,75.7,wanda13,15-01-08,06
93.6,89.1,87.8,88.3,wanda13,15-01-08,12
81.1,91.8,78.9,91.0,wanda13,15-01-08,18
71.6,59.7,67.5,57.0,wanda13,15-01-09,00
83.8,56.0,82.1,53.5,wanda13,15-01-09,06
79.6,89.3,77.4,87.8,wanda13,15-01-09,12
74.1,56.7,67.2,54.9,wanda13,15-01-09,18
73.6,82.7,64.8,80.7,wanda13,15-01-10,00
88.4,62.0,86.6,54.2,wanda13,15-01-10,06
90.6,55.2,89.1,55.2,wanda13,15-01-10,12
79.9,57.3,75.0,57.1,wanda13,15-01-10,18
84.0,93.8,80.6,93.3,wanda13,15-01-11,00
90.3,84.8,88.7,84.0,wanda13,15-01-11,06
71.7,88.9,71.1,88.5,wanda13,15-01-11,12
76.0,60.5,73.6,59.4,wanda13,15-01-11,18
93.2,53.8,90.0,53.1,wanda13,15-01-12,00
76.8,78.8,74.3,75.5,wanda13,15-01-12,06
85.8,63.3,84.5,63.3,wanda13,15-01-12,12
73.2,61.7,69.3,60.4,wanda13,15-01-12,18
88.3,53.8,88.1,52.2,wanda13,15-01-13,00
77.4,75.9,69.7,74.7,wanda13,15-01-13,06
79.2,73.1,74.9,64.6,wanda13,15-01-13,12
76.4,79.9,76.4,79.1,wanda13,15-01-13,18
94.1,51.9,94.0,50.8,wanda13,15-01-14,00
89.7,56.9,83.9,52.5,wanda13,15-01-14,06
72.7,57.1,66.7,55.4,wanda13,15-01-14,12
89.8,56.4,88.8,53.7,wanda13,15-01-14,18
84.6,80.1,84.2,79.5,wanda13,15-01-15,00
70.6,93.5,68.4,91.0,wanda13,15-01-15,06
70.6,52.2,67.4,49.4,wanda13,15-01-15,12
93.8,82.1,90.2,81.9,wanda13,15-01-15,18
73.8,50.0,71.9,46.9,wanda13,15-01-16,00
94.5,89.7,94.3,87.7,wanda13,15-01-16,06
70.0,76.2,63.9,72.6,wanda13,15-01-16,12
89.8,54.2,83.2,54.2,wanda13,15-01-16,18
93.3,51.8,92.1,49.8,wanda13,15-01-17,00
86.4,50.7,86.4,50.4,wanda13,15-01-17,06
80.6,56.8,78.9,53.3,wanda13,15-01-17,12
87.8,81.5,86.4,81.5,wanda13,15-01-17,18
80.5,75.7,71.9,74.9,wanda13,15-01-18,00
80.7,64.1,79.1,60.2,wanda13,15-01-18,06
89.7,61.2,87.3,59.3,wanda13,15-01-18,12
90.6,52.5,85.8,47.1,wanda13,15-01-18,18
88.5,55.1,88.5,53.4,wanda13,15-01-19,00
83.4,74.8,81.9,68.5,wanda13,15-01-19,06
85.3,55.8,79.6,52.3,wanda13,15-01-19,12
93.4,61.4,89.7,60.2,wanda13,15-01-19,18
95.0,75.2,86.1,73.9,wanda13,15-01-20,00
91.6,77.7,89.1,76.7,wanda13,15-01-20,06
74.0,83.5,68.7,82.5,wanda13,15-01-20,12
75.8,56.7,71.8,48.0,wanda13,15-01-20,18
80.0,65.5,78.3,65.3,wanda13,15-01-21,00
76.5,68.3,68.7,66.4,wanda13,15-01-21,06
89.4,54.9,86.6,46.9,wanda13,15-01-21,12
82.3,80.7,82.0,74.6,wanda13,15-01-21,18
76.1,82.9,72.1,80.4,wanda13,15-01-22,00
92.7,82.1,92.1,73.8,wanda13,15-01-22,06
81.5,71.8,81.5,71.8,wanda13,15-01-22,12
76.0,64.7,72.1,64.1,wanda13,15-01-22,18
88.2,85.2,88.2,77.7,wanda13,15-01-23,00
92.2,66.8,91.7,66.6,wanda13,15-01-23,06
94.1,75.9,91.5,68.6,wanda13,15-01-23,12
73.6,52.6,72.9,52.5,wanda13,15-01-23,18
89.6,75.7,87.2,75.1,wanda13,15-01-24,00
86.2,82.6,86.2,77.9,wanda13,15-01-24,06
85.9,83.2,85.2,82.1,wanda13,15-01-24,12
85.9,88.2,82.8,86.9,wanda13,15-01-24,18
93.8,84.8,91.8,84.0,wanda13,15-01-25,00
85.7,72.8,85.5,70.6,wanda13,15-01-25,06
87.0,64.6,85.7,61.3,wanda13,15-01-25,12
91.4,94.9,90.8,94.6,wanda13,15-01-25,18
90.2,73.6,88.8,73.1,wanda13,15-01-26,00
82.6,90.3,79.7,89.1,wanda13,15-01-26,06
91.0,93.6,91.0,92.1,wanda13,15-01-26,12
85.9,53.0,85.4,53.0,wanda13,15-01-26,18
74.8,72.5,74.8,67.9,wanda13,15-01-27,00
78.2,66.6,77.0,66.6,wanda13,15-01-27,06
72.5,73.7,71.9,69.7,wanda13,15-01-27,12
76.7,55.2,73.3,52.0,wanda13,15-01-27,18
92.0,69.5,85.9,67.9,wanda13,15-01-28,00
76.0,90.1,72.4,84.9,wanda13,15-01-28,06
71.6,81.3,71.4,79.3,wanda13,15-01-28,12
91.8,86.3,88.7,81.6,wanda13,15-01-28,18
73.5,87.4,66.9,87.1,wanda13,15-01-29,00
93.6,50.6,90.6,50.5,wanda13,15-01-29,06
82.1,76.4,81.3,76.3,wanda13,15-01-29,12
90.3,78.0,88.5,74.5,wanda13,15-01-29,18
89.8,81.6,84.3,79.1,wanda13,15-01-30,00
78.1,77.3,78.1,75.1,wanda13,15-01-30,06
79.8,70.0,78.9,70.0,wanda13,15-01-30,12
72.7,89.5,72.7,84.4,wanda13,15-01-30,18
78.0,76.9,70.0,73.2,wanda13,15-01-31,00
81.4,76.1,79.0,75.1,wanda13,15-01-31,06
71.5,75.3,69.7,75.3,wanda13,15-01-31,12
84.0,75.5,81.0,75.0,wanda13,15-01-31,18
72.4,52.7,69.5,49.9,wanda13,15-02-01,00
94.1,72.6,91.2,71.7,wanda13,15-02-01,06
89.8,58.6,89.6,57.3,wanda13,15-02-01,12
82.0,72.6,81.1,66.9,wanda13,15-02-01,18
73.5,61.9,65.4,61.9,wanda13,15-02-02,00
86.1,81.4,85.3,78.6,wanda13,15-02-02,06
85.1,61.9,79.6,54.6,wanda13,15-02-02,12
81.0,65.0,79.9,63.8,wanda13,15-02-02,18
93.0,63.9,87.3,63.9,wanda13,15-02-03,00
90.7,54.0,86.8,54.0,wanda13,15-02-03,06
72.3,57.3,71.7,57.3,wanda13,15-02-03,12
76.0,51.5,75.5,51.2,wanda13,15-02-03,18
86.1,58.5,85.9,48.8,wanda13,15-02-04,00
86.9,51.0,85.6,43.8,wanda13,15-02-04,06
87.2,59.1,82.3,55.4,wanda13,15-02-04,12
93.3,61.9,90.0,61.2,wanda13,15-02-04,18
86.2,68.2,80.8,66.5,wanda13,15-02-05,00
79.1,56.1,74.4,55.7,wanda13,15-02-05,06
85.9,90.9,85.3,90.6,wanda13,15-02-05,12
93.1,75.5,92.1,70.8,wanda13,15-02-05,18
75.1,73.2,72.5,66.3,wanda13,15-02-06,00
80.3,93.2,79.8,91.8,wanda13,15-02-06,06
80.0,51.7,77.0,48.1,wanda13,15-02-06,12
74.0,87.0,71.1,85.3,wanda13,15-02-06,18
84.4,58.6,84.4,55.1,wanda13,15-02-07,00
81.5,80.2,80.6,77.0,wanda13,15-02-07,06
70.6,69.4,68.2,62.3,wanda13,15-02-07,12
87.6,70.7,85.6,68.4,wanda13,15-02-07,18
80.9,50.2,80.6,50.2,wanda13,15-02-08,00
80.2,55.7,79.7,47.4,wanda13,15-02-08,06
74.5,65.2,73.7,56.4,wanda13,15-02-08,12
73.8,50.9,70.5,40.9,wanda13,15-02-08,18
92.1,74.4,92.1,72.5,wanda13,15-02-09,00
89.4,94.6,88.7,87.1,wanda13,15-02-09,06
90.5,79.6,87.7,73.5,wanda13,15-02-09,12
94.4,61.6,94.4,56.7,wanda13,15-02-09,18
82.1,95.0,82.1,94.1,wanda13,15-02-10,00
81.3,75.1,81.1,73.0,wanda13,15-02-10,06
83.6,93.6,82.0,92.9,wanda13,15-02-10,12
92.2,89.4,88.4,85.5,wanda13,15-02-10,18
90.2,92.9,90.2,90.6,wanda13,15-02-11,00
87.5,50.7,87.3,46.4,wanda13,15-02-11,06
78.4,57.6,73.6,55.1,wanda13,15-02-11,12
76.6,68.3,76.6,63.4,wanda13,15-02-11,18
85.7,64.2,83.1,60.0,wanda13,15-02-12,00
93.1,78.0,91.9,77.9,wanda13,15-02-12,06
94.6,78.2,94.1,72.7,wanda13,15-02-12,12
80.3,73.7,79.6,67.2,wanda13,15-02-12,18
81.1,83.6,81.1,82.7,wanda13,15-02-13,00
81.0,90.8,80.3,89.2,wanda13,15-02-13,06
82.0,87.4,75.1,87.3,wanda13,15-02-13,12
92.1,91.8,89.0,89.2,wanda13,15-02-13,18
80.0,83.5,78.4,79.8,wanda13,15-02-14,00
93.5,53.8,88.9,53.2,wanda13,15-02-14,06
70.5,84.3,67.0,82.3,wanda13,15-02-14,12
81.9,62.8,80.7,62.7,wanda13,15-02-14,18
89.9,87.5,89.9,85.7,wanda13,15-02-15,00
94.7,90.9,91.8,88.6,wanda13,15-02-15,06
76.7,74.2,70.9,66.0,wanda13,15-02-15,12
76.1,61.7,75.3,60.8,wanda13,15-02-15,18
93.9,68.7,93.5,64.7,wanda13,15-02-16,00
73.9,55.9,71.8,50.3,wanda13,15-02-16,06
82.4,67.6,82.0,65.1,wanda13,15-02-16,12
91.9,51.4,91.9,48.8,wanda13,15-02-16,18
83.1,74.7,74.4,66.3,wanda13,15-02-17,00
81.5,74.1,77.6,71.9,wanda13,15-02-17,06
89.4,63.5,89.4,60.3,wanda13,15-02-17,12
84.1,84.9,83.3,79.2,wanda13,15-02-17,18
80.4,70.3,77.6,66.4,wanda13,15-02-18,00
84.6,89.5,83.0,85.7,wanda13,15-02-18,06
73.1,91.6,63.8,90.3,wanda13,15-02-18,12
87.0,59.3,87.0,56.6,wanda13,15-02-18,18
82.8,50.3,77.8,45.8,wanda13,15-02-19,00
78.5,53.4,77.5,45.2,wanda13,15-02-19,06
81.7,86.3,78.9,83.7,wanda13,15-02-19,12
81.1,66.2,79.4,65.7,wanda13,15-02-19,18
76.2,83.5,74.4,82.5,wanda13,15-02-20,00
85.8,90.1,84.7,88.8,wanda13,15-02-20,06
76.1,65.7,75.0,64.2,wanda13,15-02-20,12
71.7,84.4,70.2,81.9,wanda13,15-02-20,18
92.8,60.8,90.1,59.6,wanda13,15-02-21,00
